architectures,dataset_sizes,loki_computation_time,nn_training_time,nn_evaluation_time,proj_evaluation_time,rmse_nn_overall,rmse_proj_nn_overall,specific_outputs,mean_rmse_nn_specific,mean_rmse_proj_nn_specific
"[50, 50]",20,467.8,140.70405173301697,0.007733821868896484,54.422168016433716,0.22506928530932782,0.21057924985334792,"['O2(X)', 'O2(+,X)', 'ne']",0.18962530560598734,0.08040762842168982
"[50, 50]",50,1169.5,227.7056007385254,0.008152008056640625,51.07639503479004,0.11321661448328227,0.10717404239751742,"['O2(X)', 'O2(+,X)', 'ne']",0.0969304992748438,0.04814042698123535
"[50, 50]",100,2339.0,332.20301580429077,0.007475376129150391,48.53090691566467,0.08139212745249624,0.07754818415850227,"['O2(X)', 'O2(+,X)', 'ne']",0.06903484195122274,0.03796264349518505
"[50, 50]",200,4678.0,372.46983909606934,0.007665395736694336,48.33266735076904,0.0631528911766189,0.06102003583178395,"['O2(X)', 'O2(+,X)', 'ne']",0.049687932151410735,0.03005389833356249
"[50, 50]",400,9356.0,876.3084769248962,0.007670879364013672,48.40076780319214,0.04350736822782235,0.04239547976871409,"['O2(X)', 'O2(+,X)', 'ne']",0.030568699732678284,0.019479801854851347
"[50, 50]",600,14034.0,945.4482433795929,0.008260965347290039,48.87760066986084,0.03786711649094575,0.03690392969773474,"['O2(X)', 'O2(+,X)', 'ne']",0.02697838860631363,0.01762917108584067
"[50, 50]",800,18712.0,1383.6373264789581,0.007946014404296875,47.92813062667847,0.03168606766633784,0.03104658042956266,"['O2(X)', 'O2(+,X)', 'ne']",0.020228382148104615,0.013500024047767427
"[50, 50]",1000,23390.0,1461.330983877182,0.009338140487670898,48.949628591537476,0.029233920421532424,0.028581778838732207,"['O2(X)', 'O2(+,X)', 'ne']",0.019596606372147617,0.012956097091838448
"[50, 50]",1500,35085.0,2410.0247774124146,0.009969472885131836,49.2017457485199,0.0229390108096212,0.022467351526989428,"['O2(X)', 'O2(+,X)', 'ne']",0.015425775289852043,0.010607350026630059
"[50, 50]",2000,46780.0,2564.5849964618683,0.008534908294677734,48.648672342300415,0.02005730524157358,0.019700558486666717,"['O2(X)', 'O2(+,X)', 'ne']",0.013365103661613954,0.009619892802104039
"[50, 50]",2500,58475.0,2670.9455704689026,0.009689092636108398,48.66113758087158,0.018506127442018,0.018154210032847208,"['O2(X)', 'O2(+,X)', 'ne']",0.012681719921557602,0.009038502911647565
